trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-169.74530754564242,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,16,13.152676108493385,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-107.94023543356568,"{0: 14, 1: 5, 2: 4, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",35,5,-105.67180408825439,"{0: 21, 1: 1, 2: 6, 3: 1, 4: 1}",1
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-119.75724493453605,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",35,21,-7.7049021003832046,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-24.36245086466556,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-61.06535049195329,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,8,-94.64103802940224,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 2}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,1,-9.496631697627686,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-91.11474584785621,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-85.38088596851384,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-80.53252767284418,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-180.36706325424097,"{0: 9, 1: 2, 2: 6, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-23.734824449133534,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-30.373945823048288,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-59.91091522098376,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-20.639283258540623,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-84.72851014026132,"{0: 21, 1: 0, 2: 1, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,11.977717783049034,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",25,2,-60.862985653370856,"{0: 19, 1: 2, 2: 0, 3: 0, 4: 2}",1
2,True,"{'a': 0, 'e': 0}",20,0,-27.145942463568836,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",25,0,-63.18102285084087,"{0: 21, 1: 0, 2: 1, 3: 2, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",20,0,-0.4241636600826266,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",25,0,-126.85014268261858,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 3}",0
6,True,"{'a': 0, 'e': 0}",20,12,7.872336899629837,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,5,10.799163910266822,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,0,-58.23704287193216,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
9,True,"{'a': 0, 'e': 0}",25,0,21.092498527078934,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",25,7,-69.4786988697274,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 2}",1
