trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9999500004166653}",20,0,-156.39837409313046,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 3}",0
2,False,"{'a': 0.01, 'e': 0.9998000066665778}",20,0,-213.46528990709996,"{0: 9, 1: 1, 2: 6, 3: 0, 4: 4}",0
3,False,"{'a': 0.01, 'e': 0.9995500337489875}",20,0,-123.35508906945776,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 3}",0
4,False,"{'a': 0.01, 'e': 0.9992001066609779}",20,0,-128.27504790523426,"{0: 10, 1: 5, 2: 2, 3: 1, 4: 2}",0
5,False,"{'a': 0.01, 'e': 0.9987502603949663}",20,0,-97.03565184543011,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
6,False,"{'a': 0.01, 'e': 0.9982005399352042}",20,0,-131.09626776660392,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
7,False,"{'a': 0.01, 'e': 0.9975510002532796}",25,0,-96.30694975003466,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
8,False,"{'a': 0.01, 'e': 0.9968017063026194}",25,0,-161.2656958956023,"{0: 13, 1: 4, 2: 5, 3: 1, 4: 2}",0
9,False,"{'a': 0.01, 'e': 0.9959527330119943}",20,0,-51.42879837796126,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
10,False,"{'a': 0.01, 'e': 0.9950041652780258}",25,0,-181.17550794596235,"{0: 11, 1: 3, 2: 8, 3: 1, 4: 2}",0
11,False,"{'a': 0.01, 'e': 0.9939560979566968}",30,0,-129.31559422095535,"{0: 20, 1: 3, 2: 5, 3: 0, 4: 2}",0
12,False,"{'a': 0.01, 'e': 0.9928086358538663}",30,0,-201.38955177776884,"{0: 15, 1: 2, 2: 9, 3: 2, 4: 2}",0
13,False,"{'a': 0.01, 'e': 0.9915618937147881}",20,10,-44.784136954147,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 1}",1
14,False,"{'a': 0.01, 'e': 0.9902159962126371}",25,0,-58.65523026288031,"{0: 17, 1: 1, 2: 7, 3: 0, 4: 0}",0
15,False,"{'a': 0.01, 'e': 0.9887710779360422}",35,0,-150.17734927053715,"{0: 18, 1: 6, 2: 10, 3: 0, 4: 1}",0
16,False,"{'a': 0.01, 'e': 0.9872272833756269}",20,0,-167.33498347489595,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 3}",0
17,False,"{'a': 0.01, 'e': 0.9855847669095608}",25,6,-89.29507138627513,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 1}",1
18,False,"{'a': 0.01, 'e': 0.9838436927881214}",25,0,-90.75739991743436,"{0: 15, 1: 1, 2: 8, 3: 1, 4: 0}",0
19,False,"{'a': 0.01, 'e': 0.9820042351172703}",20,0,-58.67769861886183,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
20,False,"{'a': 0.01, 'e': 0.9800665778412416}",25,0,-102.1114803319133,"{0: 17, 1: 2, 2: 3, 3: 2, 4: 1}",0
21,False,"{'a': 0.01, 'e': 0.9780309147241483}",30,0,-174.9538688229097,"{0: 16, 1: 7, 2: 4, 3: 0, 4: 3}",0
22,False,"{'a': 0.01, 'e': 0.9758974493306055}",25,2,-166.7360707933035,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 3}",1
