trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-144.03394070357217,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-142.67219138641545,"{0: 8, 1: 3, 2: 7, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-127.29348057190305,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-123.51138837151338,"{0: 9, 1: 3, 2: 6, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-90.60983494629802,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-110.90249730741077,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-318.8070239256847,"{0: 10, 1: 0, 2: 9, 3: 0, 4: 6}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-53.249228248005686,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",35,0,-192.05786570055244,"{0: 19, 1: 5, 2: 7, 3: 2, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-231.84304907107773,"{0: 8, 1: 0, 2: 8, 3: 0, 4: 4}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-77.31602450247888,"{0: 15, 1: 2, 2: 8, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,0,-157.46524027133324,"{0: 16, 1: 5, 2: 7, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,0,-277.38278373562713,"{0: 15, 1: 3, 2: 6, 3: 1, 4: 5}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-106.83482471524225,"{0: 18, 1: 5, 2: 6, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-97.336247091672,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-81.39617800741814,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-154.33195568518744,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,2,-51.838415555441316,"{0: 13, 1: 3, 2: 1, 3: 0, 4: 1}",1
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-108.34735812735073,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",35,0,-130.41504657331507,"{0: 20, 1: 6, 2: 8, 3: 0, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-69.92605709018581,"{0: 11, 1: 5, 2: 3, 3: 1, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-117.70942182299338,"{0: 14, 1: 6, 2: 3, 3: 0, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,15,-11.834025497486103,"{0: 7, 1: 2, 2: 1, 3: 0, 4: 0}",1
4,True,"{'a': 0.5, 'e': 1.0}",35,0,-250.02861828821852,"{0: 19, 1: 4, 2: 7, 3: 1, 4: 4}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,13,-66.3272753388792,"{0: 6, 1: 2, 2: 3, 3: 0, 4: 1}",1
6,True,"{'a': 0.5, 'e': 1.0}",30,6,-131.49026078826992,"{0: 12, 1: 7, 2: 2, 3: 1, 4: 2}",1
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-187.42381189389693,"{0: 10, 1: 4, 2: 2, 3: 0, 4: 4}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-21.72205302030254,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-118.19838048117091,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 3}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-96.92275178298573,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
